project	condition	type
Ca-1	Ca	single-read
Ca-2	Ca	single-read
Ca-3	Ca	single-read
N19_Ca-1	N19_Ca	single-read
N19_Ca-2	N19_Ca	single-read
N19_Ca-3	N19_Ca	single-read
N2-1	N2	single-read
N2-2	N2	single-read
N2-3	N2	single-read
ScNI-1	ScNI	single-read
ScNI-2	ScNI	single-read
ScNI-3	ScNI	single-read
Sc_At-1	Sc_At	single-read
Sc_At-2	Sc_At	single-read
Sc_At-3	Sc_At	single-read
Sc_Ca-1	Sc_Ca	single-read
Sc_Ca-2	Sc_Ca	single-read
Sc_Ca-3	Sc_Ca	single-read
Sc_Sc-1	Sc_Sc	single-read
Sc_Sc-2	Sc_Sc	single-read
Sc_Sc-3	Sc_Sc	single-read
Sc_Sp-1	Sc_Sp	single-read
Sc_Sp-2	Sc_Sp	single-read
Sc_Sp-3	Sc_Sp	single-read
